sampleId	taxNameSpecies	nReads	covPosRelEntropy1000	Database	Authenticated	Sample
INDIV159_HUKAMAKO_1613_Wet2014	B. ailuri	6363	0.5061298271	Raw	FP	INDIV159
INDIV95_HUKAMAKO_1599_Wet2014	B. ailuri	8572	0.4609593272	Raw	FP	INDIV95
INDIV197_HUKAMAKO_1602_Wet2014	B. ailuri	6269	0.4929340931	Raw	FP	INDIV197
INDIV93_HUKAMAKO_1598_Wet2014	B. ailuri	6693	0.5349714434	Raw	FP	INDIV93
INDIV193_HUKAMAKO_1603_Wet2014	B. ailuri	10695	0.4713924462	Raw	FP	INDIV193
INDIV187_HUKAMAKO_1597_Wet2014	B. ailuri	14212	0.4961682329	Raw	FP	INDIV187
INDIV70_SENGELI_1128_Dry2013	B. ailuri	22216	0.4518651051	Raw	FP	INDIV70
INDIV188_SENGELI_1586_Wet2014	B. ailuri	8882	0.5081259824	Raw	FP	INDIV188
INDIV162_HUKAMAKO_1619_Wet2014	B. ailuri	6363	0.54898799	Raw	FP	INDIV162
INDIV181_SENGELI_1581_Wet2014	B. ailuri	8159	0.4708179761	Raw	FP	INDIV181
INDIV195_HUKAMAKO_1620_Wet2014	B. ailuri	7743	0.5132212324	Raw	FP	INDIV195
INDIV196_HUKAMAKO_1621_Wet2014	B. ailuri	16054	0.4870306615	Raw	FP	INDIV196
INDIV58_SENGELI_1579_Wet2014	B. ailuri	8210	0.4540942816	Raw	FP	INDIV58
INDIV57_SENGELI_1578_Wet2014	B. ailuri	13961	0.4411373823	Raw	FP	INDIV57
INDIV199_SENGELI_1577_Wet2014	B. ailuri	12352	0.4511160623	Raw	FP	INDIV199
INDIV88_SENGELI_1576_Wet2014	B. ailuri	10476	0.467336485	Raw	FP	INDIV88
INDIV187_HUKAMAKO_1627_Wet2014	B. ailuri	4298	0.5427894076	Raw	FP	INDIV187
INDIV86_SENGELI_1160_Dry2013	B. ailuri	5575	0.507962399	Raw	FP	INDIV86
INDIV33_ONOWAS_1054_Dry2013	B. ailuri	9499	0.5546882137	Raw	FP	INDIV33
INDIV34_ONOWAS_1056_Dry2013	B. ailuri	4177	0.4886338814	Raw	FP	INDIV34
INDIV80_SENGELI_1148_Dry2013	B. ailuri	3218	0.5438134158	Raw	FP	INDIV80
INDIV36_ONOWAS_1060_Dry2013	B. ailuri	5887	0.393531545	Raw	FP	INDIV36
INDIV82_SENGELI_1152_Dry2013	B. ailuri	6128	0.4429479402	Raw	FP	INDIV82
INDIV180_SENGELI_1575_Wet2014	B. ailuri	13426	0.4683146631	Raw	FP	INDIV180
INDIV193_HUKAMAKO_1632_Wet2014	B. ailuri	20207	0.4859465628	Raw	FP	INDIV193
INDIV162_HUKAMAKO_1633_Wet2014	B. ailuri	6769	0.5063592846	Raw	FP	INDIV162
INDIV157_HUKAMAKO_1634_Wet2014	B. ailuri	27241	0.4407701823	Raw	FP	INDIV157
INDIV189_HUKAMAKO_1568_Wet2014	B. ailuri	10066	0.5025254641	Raw	FP	INDIV189
INDIV158_HUKAMAKO_1567_Wet2014	B. ailuri	7251	0.4711648142	Raw	FP	INDIV158
INDIV93_HUKAMAKO_1628_Wet2014	B. ailuri	23927	0.4817139068	Raw	FP	INDIV93
INDIV158_HUKAMAKO_1638_Wet2014	B. ailuri	9231	0.4991138261	Raw	FP	INDIV158
INDIV193_HUKAMAKO_1564_Wet2014	B. ailuri	25568	0.4831143398	Raw	FP	INDIV193
INDIV186_HUKAMAKO_1629_Wet2014	B. ailuri	7003	0.5417658745	Raw	FP	INDIV186
INDIV95_HUKAMAKO_1630_Wet2014	B. ailuri	7971	0.4934664519	Raw	FP	INDIV95
INDIV194_JEFF_CAMP_1572_Wet2014	B. ailuri	11743	0.484907007	Raw	FP	INDIV194
