sampleId	taxNameSpecies	nReads	covPosRelEntropy1000	Database	Authenticated	Sample
INDIV329_HUKAMAKO_2353_Dry2014	B. ailuri	2649	0.5379051032	Raw	FP	INDIV329
INDIV361_SENGELI_2150_Dry2014	B. ailuri	10037	0.4632464228	Raw	FP	INDIV361
INDIV197_HUKAMAKO_2354_Dry2014	B. ailuri	2107	0.5712016789	Raw	FP	INDIV197
INDIV61_SENGELI_2151_Dry2014	B. ailuri	6013	0.5261170946	Raw	FP	INDIV61
INDIV162_HUKAMAKO_2355_Dry2014	B. ailuri	10392	0.4898705117	Raw	FP	INDIV162
INDIV352_SENGELI_2141_Dry2014	B. ailuri	14316	0.4997903783	Raw	FP	INDIV352
INDIV354_SENGELI_2143_Dry2014	B. ailuri	10433	0.4876295717	Raw	FP	INDIV354
INDIV97_HUKAMAKO_2346_Dry2014	B. ailuri	2518	0.5833338669	Raw	FP	INDIV97
INDIV355_SENGELI_2144_Dry2014	B. ailuri	11208	0.4577355579	Raw	FP	INDIV355
INDIV379_HUKAMAKO_2682_Dry2014	B. ailuri	5201	0.4912771473	Raw	FP	INDIV379
INDIV93_HUKAMAKO_2660_Dry2014	B. ailuri	3585	0.4868929377	Raw	FP	INDIV93
INDIV185_HUKAMAKO_2661_Dry2014	B. ailuri	4037	0.545515405	Raw	FP	INDIV185
INDIV87_SENGELI_1162_Dry2013	B. ailuri	3578	0.5112285953	Raw	FP	INDIV87
INDIV88_SENGELI_1164_Dry2013	B. ailuri	8362	0.5022443907	Raw	FP	INDIV88
INDIV269_HUKAMAKO_2677_Dry2014	B. ailuri	5591	0.4787119349	Raw	FP	INDIV269
INDIV172_KIPAMBA_1344_Dry2013	B. ailuri	12312	0.4787220115	Raw	FP	INDIV172
INDIV268_HUKAMAKO_2673_Dry2014	B. ailuri	4703	0.4782139345	Raw	FP	INDIV268
INDIV97_HUKAMAKO_2646_Dry2014	B. ailuri	3375	0.4899534941	Raw	FP	INDIV97
INDIV402_DEDAUKO_2577_Dry2014	B. ailuri	2721	0.53676036	Raw	FP	INDIV402
INDIV403_DEDAUKO_2578_Dry2014	B. ailuri	1547	0.5730586496	Raw	FP	INDIV403
INDIV275_HUKAMAKO_2641_Dry2014	B. ailuri	3510	0.5679208306	Raw	FP	INDIV275
INDIV94_HUKAMAKO_1182_Dry2013	B. ailuri	5159	0.4928859993	Raw	FP	INDIV94
INDIV95_HUKAMAKO_1184_Dry2013	B. ailuri	29500	0.455595095	Raw	FP	INDIV95
INDIV270_HUKAMAKO_2669_Dry2014	B. ailuri	4157	0.4888624938	Raw	FP	INDIV270
INDIV197_HUKAMAKO_2679_Dry2014	B. ailuri	7175	0.5382038373	Raw	FP	INDIV197
INDIV158_HUKAMAKO_2656_Dry2014	B. ailuri	3271	0.5376453838	Raw	FP	INDIV158
INDIV372_HUKAMAKO_2666_Dry2014	B. ailuri	5006	0.4789499656	Raw	FP	INDIV372
INDIV158_HUKAMAKO_2667_Dry2014	B. ailuri	4970	0.4870744652	Raw	FP	INDIV158
INDIV185_HUKAMAKO_2379_Dry2014	B. ailuri	7689	0.5158624461	Raw	FP	INDIV185
INDIV86_HUKAMAKO_2651_Dry2014	B. ailuri	4557	0.4764931611	Raw	FP	INDIV86
INDIV107_HUKAMAKO_1210_Dry2013	B. ailuri	7450	0.4394101882	Raw	FP	INDIV107
INDIV53_HUKAMAKO_2652_Dry2014	B. ailuri	3689	0.4760870263	Raw	FP	INDIV53
INDIV95_HUKAMAKO_2654_Dry2014	B. ailuri	3476	0.4910674768	Raw	FP	INDIV95
INDIV103_HUKAMAKO_1202_Dry2013	B. ailuri	6438	0.5044438094	Raw	FP	INDIV103
INDIV422_GIDERU_2608_Dry2014	B. ailuri	3962	0.5594215388	Raw	FP	INDIV422
INDIV424_GIDERU_2610_Dry2014	B. ailuri	11255	0.5117282662	Raw	FP	INDIV424
INDIV95_HUKAMAKO_2444_Dry2014	B. ailuri	1982	0.5118970346	Raw	FP	INDIV95
INDIV281_GIDERU_2602_Dry2014	B. ailuri	7050	0.4875412153	Raw	FP	INDIV281
INDIV95_HUKAMAKO_2445_Dry2014	B. ailuri	1923	0.5348758122	Raw	FP	INDIV95
INDIV95_HUKAMAKO_2446_Dry2014	B. ailuri	2019	0.5470046572	Raw	FP	INDIV95
INDIV427_GIDERU_2613_Dry2014	B. ailuri	2113	0.4982778623	Raw	FP	INDIV427
INDIV89_HUKAMAKO_2391_Dry2014	B. ailuri	3541	0.4790699074	Raw	FP	INDIV89
INDIV93_HUKAMAKO_2395_Dry2014	B. ailuri	3706	0.3803847199	Raw	FP	INDIV93
INDIV95_HUKAMAKO_2399_Dry2014	B. ailuri	5468	0.5007504359	Raw	FP	INDIV95
INDIV130_KIPAMBA_1254_Dry2013	B. ailuri	73611	0.5279633373	Raw	FP	INDIV130
INDIV117_KIPAMBA_1236_Dry2013	B. ailuri	2836	0.5594696903	Raw	FP	INDIV117
INDIV116_KIPAMBA_1235_Dry2013	B. ailuri	9355	0.5399722172	Raw	FP	INDIV116
INDIV93_HUKAMAKO_2475_Dry2014	B. ailuri	2441	0.5220772264	Raw	FP	INDIV93
INDIV197_HUKAMAKO_2476_Dry2014	B. ailuri	9208	0.48748051	Raw	FP	INDIV197
INDIV162_HUKAMAKO_2477_Dry2014	B. ailuri	8330	0.4911508341	Raw	FP	INDIV162
INDIV428_GIDERU_2614_Dry2014	B. ailuri	53192	0.5383304222	Raw	FP	INDIV428
INDIV429_GIDERU_2616_Dry2014	B. ailuri	8194	0.4682470772	Raw	FP	INDIV429
INDIV129_KIPAMBA_1252_Dry2013	B. ailuri	10346	0.4926450506	Raw	FP	INDIV129
INDIV143_KIPAMBA_1278_Dry2013	B. schroederi	3225	0.7027458873	Raw	FP	INDIV143
INDIV133_KIPAMBA_1260_Dry2013	B. ailuri	16463	0.4756670726	Raw	FP	INDIV133
INDIV127_KIPAMBA_1249_Dry2013	B. ailuri	3302	0.5207119215	Raw	FP	INDIV127
INDIV372_HUKAMAKO_2479_Dry2014	B. ailuri	2589	0.5422917502	Raw	FP	INDIV372
INDIV435_GIDERU_2622_Dry2014	B. ailuri	6123	0.507819062	Raw	FP	INDIV435
INDIV371_HUKAMAKO_2484_Dry2014	B. ailuri	7924	0.520651838	Raw	FP	INDIV371
INDIV437_GIDERU_2624_Dry2014	B. ailuri	8040	0.4973301041	Raw	FP	INDIV437
INDIV438_GIDERU_2625_Dry2014	B. ailuri	7243	0.5255402142	Raw	FP	INDIV438
INDIV269_HUKAMAKO_2487_Dry2014	B. ailuri	4260	0.4546271585	Raw	FP	INDIV269
INDIV439_GIDERU_2626_Dry2014	B. ailuri	6813	0.5062954204	Raw	FP	INDIV439
INDIV273_HUKAMAKO_2488_Dry2014	B. ailuri	4791	0.5253138585	Raw	FP	INDIV273
INDIV275_HUKAMAKO_2489_Dry2014	B. ailuri	4291	0.5015654581	Raw	FP	INDIV275
INDIV158_HUKAMAKO_2480_Dry2014	B. ailuri	2390	0.5563611629	Raw	FP	INDIV158
INDIV433_GIDERU_2620_Dry2014	B. ailuri	7961	0.5121464272	Raw	FP	INDIV433
INDIV270_HUKAMAKO_2482_Dry2014	B. ailuri	3290	0.5366117278	Raw	FP	INDIV270
INDIV268_HUKAMAKO_2483_Dry2014	B. ailuri	8777	0.4827923775	Raw	FP	INDIV268
INDIV135_KIPAMBA_1264_Dry2013	B. ailuri	6376	0.4922614548	Raw	FP	INDIV135
INDIV138_KIPAMBA_1268_Dry2013	B. ailuri	70289	0.5218414978	Raw	FP	INDIV138
INDIV278_HUKAMAKO_2491_Dry2014	B. ailuri	3316	0.5176361184	Raw	FP	INDIV278
INDIV445_GIDERU_2632_Dry2014	B. ailuri	3797	0.5111611002	Raw	FP	INDIV445
INDIV97_HUKAMAKO_2496_Dry2014	B. ailuri	6005	0.4972594105	Raw	FP	INDIV97
INDIV330_HUKAMAKO_2497_Dry2014	B. ailuri	2693	0.5930190122	Raw	FP	INDIV330
INDIV333_HUKAMAKO_2499_Dry2014	B. ailuri	9555	0.5396795459	Raw	FP	INDIV333
INDIV325_HUKAMAKO_2500_Dry2014	B. ailuri	4519	0.5032409178	Raw	FP	INDIV325
INDIV277_HUKAMAKO_2501_Dry2014	B. ailuri	4332	0.5110758745	Raw	FP	INDIV277
INDIV371_HUKAMAKO_2678_Dry2014	B. ailuri	2579	0.5845430983	Raw	FP	INDIV371
INDIV279_HUKAMAKO_2492_Dry2014	B. ailuri	4795	0.4741361198	Raw	FP	INDIV279
INDIV280_HUKAMAKO_2493_Dry2014	B. ailuri	3513	0.499799888	Raw	FP	INDIV280
INDIV82_HUKAMAKO_1304_Dry2013	B. ailuri	4069	0.5587878285	Raw	FP	INDIV82
INDIV157_HUKAMAKO_1305_Dry2013	B. ailuri	15654	0.4816624463	Raw	FP	INDIV157
INDIV158_HUKAMAKO_1307_Dry2013	B. ailuri	15889	0.4792186136	Raw	FP	INDIV158
INDIV159_HUKAMAKO_1309_Dry2013	B. ailuri	3694	0.5228677104	Raw	FP	INDIV159
INDIV162_HUKAMAKO_1315_Dry2013	B. ailuri	9207	0.4708752453	Raw	FP	INDIV162
INDIV279_HUKAMAKO_2644_Dry2014	B. ailuri	4307	0.5618384825	Raw	FP	INDIV279
INDIV379_HUKAMAKO_2507_Dry2014	B. ailuri	13312	0.4653964133	Raw	FP	INDIV379
INDIV86_HUKAMAKO_2510_Dry2014	B. ailuri	3516	0.4714007633	Raw	FP	INDIV86
INDIV273_HUKAMAKO_2640_Dry2014	B. ailuri	3960	0.5610983366	Raw	FP	INDIV273
INDIV78_HUKAMAKO_2674_Dry2014	B. ailuri	6806	0.4720611755	Raw	FP	INDIV78
INDIV277_HUKAMAKO_2642_Dry2014	B. ailuri	5889	0.5414422658	Raw	FP	INDIV277
INDIV185_HUKAMAKO_2512_Dry2014	B. ailuri	1969	0.5473689992	Raw	FP	INDIV185
INDIV330_HUKAMAKO_2670_Dry2014	B. ailuri	3004	0.5610600255	Raw	FP	INDIV330
INDIV333_HUKAMAKO_2672_Dry2014	B. ailuri	3645	0.564668702	Raw	FP	INDIV333
INDIV329_HUKAMAKO_2503_Dry2014	B. ailuri	4414	0.5116807935	Raw	FP	INDIV329
INDIV89_HUKAMAKO_2504_Dry2014	B. ailuri	2528	0.4842860196	Raw	FP	INDIV89
INDIV271_HUKAMAKO_2676_Dry2014	B. ailuri	4290	0.518663415	Raw	FP	INDIV271
INDIV278_HUKAMAKO_2643_Dry2014	B. ailuri	2648	0.5897305578	Raw	FP	INDIV278
INDIV158_HUKAMAKO_2358_Dry2014	B. ailuri	16089	0.4669886475	Raw	FP	INDIV158
INDIV330_HUKAMAKO_2361_Dry2014	B. ailuri	5314	0.5218515812	Raw	FP	INDIV330
INDIV333_HUKAMAKO_2369_Dry2014	B. ailuri	3506	0.5320046474	Raw	FP	INDIV333
INDIV372_HUKAMAKO_2357_Dry2014	B. ailuri	4400	0.5302186652	Raw	FP	INDIV372
SAMPLE1653_HUKAMAKO_1653_Dry2014	B. ailuri	21424	0.4472340862	Raw	FP	SAMPLE1653
SAMPLE1655_HUKAMAKO_1655_Dry2014	B. ailuri	19312	0.4871674814	Raw	FP	SAMPLE1655
INDIV158_HUKAMAKO_2225_Dry2014	B. ailuri	15698	0.4555013349	Raw	FP	INDIV158
INDIV159_HUKAMAKO_1530_Wet2014	B. ailuri	20268	0.439142943	Raw	FP	INDIV159
SAMPLE1654_HUKAMAKO_1654_Dry2014	B. ailuri	26769	0.4729582173	Raw	FP	SAMPLE1654
INDIV157_HUKAMAKO_1527_Wet2014	B. ailuri	27507	0.4893423148	Raw	FP	INDIV157
INDIV157_HUKAMAKO_1634_Wet2014	B. ailuri	3683	0.1295427684	Decontaminated	FP	INDIV157
INDIV191_SENGELI_1555_Wet2014	B. schroederi	1807	0.3672666185	Decontaminated	FP	INDIV191
INDIV207_SAITOTI_1706_Dry2014	B. ailuri	2268	0.5297812719	Decontaminated	FP	INDIV207
INDIV208_SAITOTI_1707_Dry2014	B. ailuri	1178	0.1330874597	Decontaminated	FP	INDIV208
INDIV271_SAIDI_1866_Dry2014	B. schroederi	1110	0.4580863336	Decontaminated	FP	INDIV271
INDIV278_SAIDI_1847_Dry2014	B. schroederi	5778	0.3710892324	Decontaminated	FP	INDIV278
INDIV130_KIPAMBA_1254_Dry2013	B. ailuri	1437	0.1262479082	Decontaminated	FP	INDIV130
INDIV183_SENGELI_1510_Wet2014	Blastocystis_sp._subtype_6	1783	0.1858547841	Raw	FP	INDIV183
INDIV88_SENGELI_1511_Wet2014	Blastocystis_sp._subtype_3	2192	0.971169765	Raw	TP	INDIV88
INDIV87_SENGELI_1505_Wet2014	Blastocystis_sp._subtype_3	6383	0.9454001834	Raw	TP	INDIV87
INDIV58_SENGELI_1509_Wet2014	Blastocystis_sp._subtype_1	2420	0.9757791755	Raw	TP	INDIV58
INDIV185_SENGELI_1518_Wet2014	Blastocystis_sp._subtype_3	7284	0.8423363697	Raw	TP	INDIV185
INDIV89_SENGELI_1520_Wet2014	Blastocystis_sp._subtype_1	31996	0.9221353037	Raw	TP	INDIV89
INDIV189_HUKAMAKO_1529_Wet2014	Blastocystis_sp._subtype_6	6525	0.526152264	Raw	FP	INDIV189
INDIV88_SENGELI_1537_Wet2014	Blastocystis_sp._subtype_2	2591	0.9712548991	Raw	TP	INDIV88
INDIV188_SENGELI_1545_Wet2014	Blastocystis_sp._subtype_1	12790	0.9299474626	Raw	TP	INDIV188
INDIV80_SENGELI_1547_Wet2014	Blastocystis_sp._subtype_3	16892	0.9516568838	Raw	TP	INDIV80
INDIV197_HUKAMAKO_1563_Wet2014	Blastocystis_sp._subtype_2	20813	0.9463172618	Raw	TP	INDIV197
INDIV62_SENGELI_1554_Wet2014	Blastocystis_sp._subtype_6	4177	0.2456408125	Raw	FP	INDIV62
INDIV185_SENGELI_1556_Wet2014	Blastocystis_sp._subtype_1	6020	0.9596075374	Raw	TP	INDIV185
INDIV89_SENGELI_1557_Wet2014	Blastocystis_sp._subtype_3	11431	0.93494448	Raw	TP	INDIV89
INDIV95_HUKAMAKO_1560_Wet2014	Blastocystis_sp._subtype_1	7338	0.9523778361	Raw	TP	INDIV95
INDIV157_HUKAMAKO_1565_Wet2014	Blastocystis_sp._subtype_1	2288	0.9808066768	Raw	TP	INDIV157
INDIV159_HUKAMAKO_1566_Wet2014	Blastocystis_sp._subtype_1	13841	0.9249534463	Raw	TP	INDIV159
INDIV186_HUKAMAKO_1569_Wet2014	Blastocystis_sp._subtype_2	25786	0.953456803	Raw	TP	INDIV186
INDIV84_SENGELI_1585_Wet2014	Blastocystis_sp._subtype_1	5941	0.9589316969	Raw	TP	INDIV84
INDIV185_SENGELI_1595_Wet2014	Blastocystis_sp._subtype_3	1132	0.9823284518	Raw	TP	INDIV185
INDIV87_SENGELI_1596_Wet2014	Blastocystis_sp._subtype_6	1219	0.205843415	Raw	FP	INDIV87
INDIV305_GIDAMILANDA_1932_Dry2014	Blastocystis_sp._subtype_2	4930	0.9612429013	Raw	TP	INDIV305
INDIV78_SENGELI_2177_Dry2014	Blastocystis_sp._subtype_1	1394	0.9889594083	Raw	TP	INDIV78
INDIV61_SENGELI_1110_Dry2013	Blastocystis_sp._subtype_2	11206	0.922646217	Raw	TP	INDIV61
INDIV62_SENGELI_1112_Dry2013	Blastocystis_sp._subtype_2	14196	0.914736965	Raw	TP	INDIV62
INDIV63_SENGELI_1114_Dry2013	Blastocystis_sp._subtype_2	1887	0.9755961599	Raw	TP	INDIV63
INDIV66_SENGELI_1120_Dry2013	Blastocystis_sp._subtype_2	53612	0.9544417705	Raw	TP	INDIV66
INDIV58_SENGELI_1104_Dry2013	Blastocystis_sp._subtype_3	3585	0.9728628371	Raw	TP	INDIV58
INDIV70_SENGELI_1594_Wet2014	Blastocystis_sp._subtype_1	17565	0.9111091539	Raw	TP	INDIV70
INDIV62_SENGELI_1593_Wet2014	Blastocystis_sp._subtype_3	3184	0.9635090743	Raw	TP	INDIV62
INDIV63_SENGELI_1592_Wet2014	Blastocystis_sp._subtype_3	5567	0.9501308654	Raw	TP	INDIV63
INDIV85_SENGELI_1589_Wet2014	Blastocystis_sp._subtype_1	5048	0.9637730518	Raw	TP	INDIV85
INDIV157_HUKAMAKO_1612_Wet2014	Blastocystis_sp._subtype_2	59060	0.9696020093	Raw	TP	INDIV157
INDIV65_SENGELI_1587_Wet2014	Blastocystis_sp._subtype_1	2774	0.9767897902	Raw	TP	INDIV65
INDIV95_HUKAMAKO_1599_Wet2014	Blastocystis_sp._subtype_2	4950	0.9607392276	Raw	TP	INDIV95
INDIV197_HUKAMAKO_1602_Wet2014	Blastocystis_sp._subtype_2	1187	0.9859437215	Raw	TP	INDIV197
INDIV93_HUKAMAKO_1598_Wet2014	Blastocystis_sp._subtype_1	1949	0.9786335898	Raw	TP	INDIV93
INDIV193_HUKAMAKO_1603_Wet2014	Blastocystis_sp._subtype_2	4090	0.9655127053	Raw	TP	INDIV193
INDIV187_HUKAMAKO_1597_Wet2014	Blastocystis_sp._subtype_9	1979	0.3832014841	Raw	FP	INDIV187
INDIV70_SENGELI_1128_Dry2013	Blastocystis_sp._subtype_1	137338	0.9330472982	Raw	TP	INDIV70
INDIV188_SENGELI_1586_Wet2014	Blastocystis_sp._subtype_1	28337	0.9199628751	Raw	TP	INDIV188
INDIV162_HUKAMAKO_1619_Wet2014	Blastocystis_sp._subtype_2	35639	0.9616029872	Raw	TP	INDIV162
INDIV181_SENGELI_1581_Wet2014	Blastocystis_sp._subtype_1	19901	0.9051015718	Raw	TP	INDIV181
INDIV196_HUKAMAKO_1621_Wet2014	Blastocystis_sp._subtype_1	18229	0.9127348591	Raw	TP	INDIV196
INDIV58_SENGELI_1579_Wet2014	Blastocystis_sp._subtype_1	36867	0.9207495411	Raw	TP	INDIV58
INDIV57_SENGELI_1578_Wet2014	Blastocystis_sp._subtype_1	26594	0.9170515669	Raw	TP	INDIV57
INDIV199_SENGELI_1577_Wet2014	Blastocystis_sp._subtype_3	27943	0.9466538805	Raw	TP	INDIV199
INDIV88_SENGELI_1576_Wet2014	Blastocystis_sp._subtype_3	39920	0.971731415	Raw	TP	INDIV88
INDIV187_HUKAMAKO_1627_Wet2014	Blastocystis_sp._subtype_1	1798	0.9848223161	Raw	TP	INDIV187
INDIV86_SENGELI_1160_Dry2013	Blastocystis_sp._subtype_1	14533	0.9221977964	Raw	TP	INDIV86
INDIV33_ONOWAS_1054_Dry2013	Blastocystis_sp._subtype_1	16057	0.9169335673	Raw	TP	INDIV33
INDIV34_ONOWAS_1056_Dry2013	Blastocystis_sp._subtype_1	29517	0.9227777339	Raw	TP	INDIV34
INDIV80_SENGELI_1148_Dry2013	Blastocystis_sp._subtype_1	15322	0.9195953013	Raw	TP	INDIV80
INDIV36_ONOWAS_1060_Dry2013	Blastocystis_sp._subtype_1	15554	0.9200999861	Raw	TP	INDIV36
INDIV82_SENGELI_1152_Dry2013	Blastocystis_sp._subtype_3	4497	0.952646453	Raw	TP	INDIV82
INDIV180_SENGELI_1575_Wet2014	Blastocystis_sp._subtype_2	7212	0.9395628329	Raw	TP	INDIV180
INDIV193_HUKAMAKO_1632_Wet2014	Blastocystis_sp._subtype_6	2571	0.2562696016	Raw	FP	INDIV193
INDIV162_HUKAMAKO_1633_Wet2014	Blastocystis_sp._subtype_2	15243	0.9338779026	Raw	TP	INDIV162
INDIV157_HUKAMAKO_1634_Wet2014	Blastocystis_sp._subtype_9	1036	0.378365971	Raw	FP	INDIV157
INDIV189_HUKAMAKO_1568_Wet2014	Blastocystis_sp._subtype_6	5913	0.2520871498	Raw	FP	INDIV189
INDIV158_HUKAMAKO_1567_Wet2014	Blastocystis_sp._subtype_2	1317	0.9786953743	Raw	TP	INDIV158
INDIV93_HUKAMAKO_1628_Wet2014	Blastocystis_sp._subtype_2	51141	0.9697934962	Raw	TP	INDIV93
INDIV193_HUKAMAKO_1564_Wet2014	Blastocystis_sp._subtype_6	1939	0.2818214817	Raw	FP	INDIV193
INDIV186_HUKAMAKO_1629_Wet2014	Blastocystis_sp._subtype_1	1166	0.9913494719	Raw	TP	INDIV186
INDIV95_HUKAMAKO_1630_Wet2014	Blastocystis_sp._subtype_1	20251	0.9045754787	Raw	TP	INDIV95
INDIV194_JEFF_CAMP_1572_Wet2014	Blastocystis_sp._subtype_2	24741	0.9507816185	Raw	TP	INDIV194
INDIV192_HUKAMAKO_1631_Wet2014	Blastocystis_sp._subtype_3	2829	0.9783082415	Raw	TP	INDIV192
INDIV57_SENGELI_1102_Dry2013	Blastocystis_sp._subtype_3	2932	0.9770162617	Raw	TP	INDIV57
INDIV53_SENGELI_1094_Dry2013	Blastocystis_sp._subtype_2	474062	0.985165219	Raw	TP	INDIV53
INDIV54_SENGELI_1096_Dry2013	Blastocystis_sp._subtype_2	38588	0.9655939362	Raw	TP	INDIV54
INDIV162_HUKAMAKO_1558_Wet2014	Blastocystis_sp._subtype_2	25283	0.9528029154	Raw	TP	INDIV162
INDIV191_SENGELI_1555_Wet2014	Blastocystis_sp._subtype_2	8077	0.9249185354	Raw	TP	INDIV191
SAMPLE1640_SENGELI_1640_Dry2014	Blastocystis_sp._subtype_2	5088	0.9577553714	Raw	TP	SAMPLE1640
SAMPLE1650_HUKAMAKO_1650_Dry2014	Blastocystis_sp._subtype_3	12531	0.9323725212	Raw	TP	SAMPLE1650
SAMPLE1651_HUKAMAKO_1651_Dry2014	Blastocystis_sp._subtype_2	4810	0.9638157691	Raw	TP	SAMPLE1651
INDIV187_HUKAMAKO_1561_Wet2014	Blastocystis_sp._subtype_1	1502	0.984123217	Raw	TP	INDIV187
INDIV65_SENGELI_1118_Dry2013	Blastocystis_sp._subtype_3	11094	0.9348253542	Raw	TP	INDIV65
INDIV364_SENGELI_1124_Dry2013	Blastocystis_sp._subtype_3	14812	0.9447877621	Raw	TP	INDIV364
SAMPLE1660_SENGELI_1660_Dry2014	Blastocystis_sp._subtype_1	106249	0.9357924231	Raw	TP	SAMPLE1660
INDIV58_SENGELI_1543_Wet2014	Blastocystis_sp._subtype_3	3617	0.9718308335	Raw	TP	INDIV58
SAMPLE1662_SENGELI_1662_Dry2014	Blastocystis_sp._subtype_3	186307	0.9874498878	Raw	TP	SAMPLE1662
INDIV181_SENGELI_1541_Wet2014	Blastocystis_sp._subtype_1	6217	0.9594343508	Raw	TP	INDIV181
INDIV85_SENGELI_1551_Wet2014	Blastocystis_sp._subtype_2	24841	0.9504219156	Raw	TP	INDIV85
INDIV66_SENGELI_1548_Wet2014	Blastocystis_sp._subtype_6	3740	0.2480050387	Raw	FP	INDIV66
INDIV84_SENGELI_1156_Dry2013	Blastocystis_sp._subtype_1	18528	0.9098462129	Raw	TP	INDIV84
INDIV85_SENGELI_1158_Dry2013	Blastocystis_sp._subtype_2	130551	0.9792782771	Raw	TP	INDIV85
INDIV26_MWAMUDU_1040_Dry2013	Blastocystis_sp._subtype_2	7327	0.951534847	Raw	TP	INDIV26
INDIV89_SENGELI_1166_Dry2013	Blastocystis_sp._subtype_1	45207	0.9257876992	Raw	TP	INDIV89
INDIV90_SENGELI_1168_Dry2013	Blastocystis_sp._subtype_1	1127	0.9878328733	Raw	TP	INDIV90
INDIV81_SENGELI_1150_Dry2013	Blastocystis_sp._subtype_6	8223	0.2843724832	Raw	FP	INDIV81
INDIV180_SENGELI_1540_Wet2014	Blastocystis_sp._subtype_2	10270	0.9318907135	Raw	TP	INDIV180
INDIV93_HUKAMAKO_1531_Wet2014	Blastocystis_sp._subtype_2	37598	0.963397854	Raw	TP	INDIV93
INDIV158_HUKAMAKO_1528_Wet2014	Blastocystis_sp._subtype_2	9615	0.9417992555	Raw	TP	INDIV158
INDIV162_HUKAMAKO_1526_Wet2014	Blastocystis_sp._subtype_2	47650	0.9659255055	Raw	TP	INDIV162
INDIV197_HUKAMAKO_1525_Wet2014	Blastocystis_sp._subtype_3	1692	0.9834180599	Raw	TP	INDIV197
INDIV57_SENGELI_1539_Wet2014	Blastocystis_sp._subtype_1	3238	0.9741908873	Raw	TP	INDIV57
INDIV87_SENGELI_1538_Wet2014	Blastocystis_sp._subtype_1	21239	0.9082904402	Raw	TP	INDIV87
INDIV97_HUKAMAKO_1188_Dry2013	Blastocystis_sp._subtype_2	81294	0.9741001727	Raw	TP	INDIV97
INDIV82_HUKAMAKO_1194_Dry2013	Blastocystis_sp._subtype_3	48128	0.97570178	Raw	TP	INDIV82
INDIV93_HUKAMAKO_1180_Dry2013	Blastocystis_sp._subtype_1	9988	0.9420264099	Raw	TP	INDIV93
INDIV95_HUKAMAKO_1524_Wet2014	Blastocystis_sp._subtype_3	2399	0.978072624	Raw	TP	INDIV95
INDIV187_HUKAMAKO_1523_Wet2014	Blastocystis_sp._subtype_1	1884	0.9823432199	Raw	TP	INDIV187
INDIV186_HUKAMAKO_1522_Wet2014	Blastocystis_sp._subtype_1	1347	0.987697828	Raw	TP	INDIV186
INDIV70_SENGELI_1519_Wet2014	Blastocystis_sp._subtype_1	5137	0.963059701	Raw	TP	INDIV70
INDIV100_HUKAMAKO_1196_Dry2013	Blastocystis_sp._subtype_3	12837	0.9333259947	Raw	TP	INDIV100
INDIV101_HUKAMAKO_1198_Dry2013	Blastocystis_sp._subtype_2	94925	0.9754911564	Raw	TP	INDIV101
INDIV84_SENGELI_1512_Wet2014	Blastocystis_sp._subtype_1	5010	0.9548219838	Raw	TP	INDIV84
INDIV181_SENGELI_1507_Wet2014	Blastocystis_sp._subtype_1	16496	0.9152162169	Raw	TP	INDIV181
INDIV57_SENGELI_1506_Wet2014	Blastocystis_sp._subtype_3	5069	0.9567053531	Raw	TP	INDIV57
INDIV180_SENGELI_1504_Wet2014	Blastocystis_sp._subtype_2	9647	0.934061678	Raw	TP	INDIV180
INDIV258_MSAFIRI_1818_Dry2014	Blastocystis_sp._subtype_3	5209	0.9568434577	Raw	TP	INDIV258
INDIV259_MSAFIRI_1819_Dry2014	Blastocystis_sp._subtype_3	23298	0.9561021894	Raw	TP	INDIV259
INDIV262_MSAFIRI_1822_Dry2014	Blastocystis_sp._subtype_2	6033	0.9556559122	Raw	TP	INDIV262
INDIV254_MSAFIRI_1814_Dry2014	Blastocystis_sp._subtype_3	21770	0.9594730666	Raw	TP	INDIV254
INDIV207_SAITOTI_1706_Dry2014	Blastocystis_sp._subtype_3	4430	0.9674093699	Raw	TP	INDIV207
INDIV255_MSAFIRI_1815_Dry2014	Blastocystis_sp._subtype_2	3532	0.9723344345	Raw	TP	INDIV255
INDIV256_MSAFIRI_1816_Dry2014	Blastocystis_sp._subtype_3	20725	0.9517932975	Raw	TP	INDIV256
INDIV257_MSAFIRI_1817_Dry2014	Blastocystis_sp._subtype_3	7498	0.9462519627	Raw	TP	INDIV257
INDIV310_GIDAMILANDA_1938_Dry2014	Blastocystis_sp._subtype_6	1954	0.3033995169	Raw	FP	INDIV310
INDIV365_SENGELI_2156_Dry2014	Blastocystis_sp._subtype_3	6908	0.9509385138	Raw	TP	INDIV365
INDIV62_SENGELI_2152_Dry2014	Blastocystis_sp._subtype_3	1417	0.9872068274	Raw	TP	INDIV62
INDIV319_GIDAMILANDA_1948_Dry2014	Blastocystis_sp._subtype_6	5142	0.2482246243	Raw	FP	INDIV319
INDIV363_SENGELI_2154_Dry2014	Blastocystis_sp._subtype_1	6040	0.9480232399	Raw	TP	INDIV363
INDIV364_SENGELI_2155_Dry2014	Blastocystis_sp._subtype_3	4949	0.9551924434	Raw	TP	INDIV364
INDIV313_GIDAMILANDA_1942_Dry2014	Blastocystis_sp._subtype_2	67138	0.9741306672	Raw	TP	INDIV313
INDIV209_SAITOTI_1708_Dry2014	Blastocystis_sp._subtype_3	22397	0.9557405322	Raw	TP	INDIV209
