Dataset	sampleId	taxNameSpecies	nReads	covPosRelEntropy1000	Database	Authenticated
Pigs	8006-17	T. trichiura	10691	0.4814667351	Raw	FP
Pigs	5001-17	T. trichiura	24206	0.4797423106	Raw	FP
Madagascar	SRR7658654	T. trichiura	18182	0.4788969108	Raw	FP
Pigs	1021-17	T. trichiura	21801	0.477944711	Raw	FP
Pigs	1015-17	T. trichiura	11563	0.4764781901	Raw	FP
Pigs	7007-17	T. trichiura	19309	0.4755135137	Raw	FP
Pigs	3219-17	T. trichiura	8280	0.4750567056	Raw	FP
Pigs	9006-17	T. trichiura	6289	0.4739390367	Raw	FP
Pigs	4035-17	T. trichiura	15556	0.4709662331	Raw	FP
Pigs	4007-17	T. trichiura	16997	0.4705347431	Raw	FP
Pigs	3201-17	T. trichiura	10924	0.4688549188	Raw	FP
Iceman	Iceman	T. trichiura	6488	0.468179387	Raw	FP
Pigs	2005-17	T. trichiura	17611	0.4660517632	Raw	FP
Pigs	3204-17	T. trichiura	9815	0.4653287081	Raw	FP
Pigs	2002-17	T. trichiura	12372	0.4648534459	Raw	FP
Madagascar	SRR7658598	T. trichiura	12346	0.4643333049	Raw	FP
Pigs	2006-17	T. trichiura	23425	0.464208331	Raw	FP
Pigs	5041-17	T. trichiura	9256	0.463477835	Raw	FP
Madagascar	SRR7658671	T. trichiura	17185	0.463053843	Raw	FP
Pigs	7013-17	T. trichiura	12512	0.4628988228	Raw	FP
Pigs	7018-17	T. trichiura	21216	0.4616153414	Raw	FP
Pigs	4031-17	T. trichiura	16953	0.4611215912	Raw	FP
Pigs	8014-17	T. trichiura	21003	0.46079021	Raw	FP
Pigs	2008-17	T. trichiura	10654	0.4598517204	Raw	FP
Pigs	7019-17	T. trichiura	17344	0.4592221984	Raw	FP
Madagascar	SRR7658618	T. trichiura	6083	0.4555397007	Raw	FP
Hallstatt	HS2611	T. trichiura	2444	0.455119861	Decontaminated	FP
Pigs	7004-17	T. trichiura	23325	0.4547490194	Raw	FP
Pigs	4037-17	T. trichiura	21513	0.4539718791	Raw	FP
Pigs	1003-17	T. trichiura	18140	0.451978085	Raw	FP
Pigs	4034-17	T. trichiura	14180	0.4514131675	Raw	FP
Pigs	1041-17	T. trichiura	17813	0.4502973078	Raw	FP
Pigs	5026-17	T. trichiura	12628	0.4498217887	Raw	FP
Pigs	4033-17	T. trichiura	17235	0.4445895216	Raw	FP
Madagascar	SRR7658596	T. trichiura	10982	0.4435811636	Raw	FP
Pigs	3210-17	T. trichiura	13456	0.4431568923	Raw	FP
Pigs	5012-17	T. trichiura	16631	0.4425891039	Raw	FP
Madagascar	SRR7658581	T. trichiura	23659	0.4424070009	Raw	FP
Pigs	1035-17	T. trichiura	15608	0.4422003888	Raw	FP
Pigs	8020-17	T. trichiura	14391	0.4419078021	Raw	FP
Pigs	8002-17	T. trichiura	23647	0.441556143	Raw	FP
Madagascar	SRR7658638	T. trichiura	9456	0.4412448566	Raw	FP
Pigs	3217-17	T. trichiura	7877	0.4405553073	Raw	FP
Pigs	5008-17	T. trichiura	17830	0.4404576286	Raw	FP
Pigs	3205-17	T. trichiura	4364	0.4401827242	Raw	FP
Pigs	1037-17	T. trichiura	17805	0.4389959278	Raw	FP
Pigs	6009-17	T. trichiura	7894	0.4381774988	Raw	FP
Pigs	6021-17	T. trichiura	6910	0.4375196614	Raw	FP
Pigs	6015-17	T. trichiura	10201	0.436176583	Raw	FP
Hallstatt	HS2611	T. trichiura	20548	0.4351395674	Raw	FP
Madagascar	SRR7658673	T. trichiura	13889	0.4343994961	Raw	FP
Pigs	7015-17	T. trichiura	14591	0.4338548625	Raw	FP
Pigs	7011-17	T. trichiura	18579	0.433170592	Raw	FP
Dogs	Solarolo	T. trichiura	7976	0.4319858438	Raw	FP
Pigs	8018-17	T. trichiura	21611	0.431607786	Raw	FP
Pigs	4029-17	T. trichiura	14442	0.4315896819	Raw	FP
Pigs	5037-17	T. trichiura	10680	0.4315264645	Raw	FP
Pigs	8016-17	T. trichiura	13697	0.4306566356	Raw	FP
Pigs	1043-17	T. trichiura	12311	0.4295973956	Raw	FP
Pigs	3215-17	T. trichiura	4064	0.4294708252	Raw	FP
Pigs	2013-17	T. trichiura	5233	0.4284776253	Raw	FP
Pigs	1023-17	T. trichiura	20730	0.4283541507	Raw	FP
Pigs	1001-17	T. trichiura	27049	0.4281188063	Raw	FP
Pigs	4039-17	T. trichiura	14000	0.4280042665	Raw	FP
Madagascar	SRR7658600	T. trichiura	4301	0.4279294793	Decontaminated	FP
Pigs	6018-17	T. trichiura	7739	0.4277674678	Raw	FP
Pigs	6005-17	T. trichiura	11842	0.4276728893	Raw	FP
Madagascar	SRR7658690	T. trichiura	15110	0.4272235163	Raw	FP
Pigs	3220-17	T. trichiura	12880	0.4271638338	Raw	FP
Madagascar	SRR7658625	T. trichiura	12916	0.4264647281	Raw	FP
Pigs	7014-17	T. trichiura	15053	0.4262708377	Raw	FP
Madagascar	SRR7658681	T. trichiura	3759	0.4262616796	Raw	FP
Pigs	5015-17	T. trichiura	15636	0.4258433567	Raw	FP
Pigs	2019-17	T. trichiura	14143	0.4256554357	Raw	FP
Pigs	4036-17	T. trichiura	17409	0.4252067715	Raw	FP
Pigs	1017-17	T. trichiura	22196	0.4249227102	Raw	FP
Pigs	6013-17	T. trichiura	8479	0.424834251	Raw	FP
Pigs	8032-17	T. trichiura	15354	0.4237079556	Raw	FP
Pigs	1007-17	T. trichiura	17345	0.4232428663	Raw	FP
Pigs	3207-17	T. trichiura	5619	0.4227628498	Raw	FP
Pigs	6016-17	T. trichiura	11417	0.4225865008	Raw	FP
Pigs	8022-17	T. trichiura	17161	0.4224146213	Raw	FP
Pigs	5011-17	T. trichiura	10228	0.4223104646	Raw	FP
Madagascar	SRR7658674	T. trichiura	1869	0.4222917644	Decontaminated	FP
Pigs	1005-17	T. trichiura	13950	0.4220923522	Raw	FP
Pigs	5025-17	T. trichiura	14821	0.421712501	Raw	FP
Pigs	2012-17	T. trichiura	10802	0.4210036107	Raw	FP
Pigs	4032-17	T. trichiura	15634	0.4207574617	Raw	FP
Pigs	9002-17	T. trichiura	12775	0.4198737258	Raw	FP
Pigs	5029-17	T. trichiura	13385	0.4197604238	Raw	FP
Pigs	6017-17	T. trichiura	15729	0.4192203717	Raw	FP
Pigs	7020-17	T. trichiura	16003	0.4180075364	Raw	FP
Pigs	7012-17	T. trichiura	8353	0.4179820002	Raw	FP
Pigs	3208-17	T. trichiura	7467	0.4175120106	Raw	FP
Pigs	8008-17	T. trichiura	21010	0.4173660185	Raw	FP
Pigs	8010-17	T. trichiura	25234	0.4172581551	Raw	FP
Madagascar	SRR7658655	T. trichiura	1678	0.4168717306	Decontaminated	FP
Pigs	5019-17	T. trichiura	12500	0.4162673479	Raw	FP
Hallstatt	HS2610	T. trichiura	1952	0.4160127767	Decontaminated	FP
Pigs	2003-17	T. trichiura	13244	0.4139518645	Raw	FP
Madagascar	SRR7658671	T. trichiura	2542	0.4139023137	Decontaminated	FP
Pigs	1031-17	T. trichiura	13977	0.4136571755	Raw	FP
Pigs	7016-17	T. trichiura	16172	0.4129282771	Raw	FP
Madagascar	SRR7658647	T. trichiura	1311	0.4118641962	Decontaminated	FP
Pigs	1027-17	T. trichiura	17452	0.4114568214	Raw	FP
Madagascar	SRR7658592	T. trichiura	4072	0.4094372949	Decontaminated	FP
Pigs	5004-17	T. trichiura	10788	0.4090622495	Raw	FP
Hallstatt	HS2612	T. trichiura	24908	0.4088641512	Raw	FP
Pigs	1025-17	T. trichiura	21711	0.4083854203	Raw	FP
Pigs	3212-17	T. trichiura	6895	0.407604803	Raw	FP
Pigs	1029-17	T. trichiura	10278	0.4059820866	Raw	FP
Pigs	3203-17	T. trichiura	8607	0.4059056328	Raw	FP
Madagascar	SRR7658621	T. trichiura	1869	0.4058093547	Decontaminated	FP
Pigs	7002-17	T. trichiura	15849	0.4057410592	Raw	FP
Pigs	2001-17	T. trichiura	11648	0.4047223552	Raw	FP
Pigs	5027-17	T. trichiura	22703	0.4043377388	Raw	FP
Pigs	8026-17	T. trichiura	11410	0.4042639332	Raw	FP
Pigs	7017-17	T. trichiura	19080	0.4035310498	Raw	FP
Pigs	5028-17	T. trichiura	17561	0.4029826327	Raw	FP
Pigs	8028-17	T. trichiura	12248	0.4026430389	Raw	FP
Pigs	8036-17	T. trichiura	16738	0.4016528863	Raw	FP
Pigs	6010-17	T. trichiura	11772	0.4006243142	Raw	FP
Pigs	9018-17	T. trichiura	8630	0.4004405542	Raw	FP
Pigs	2007-17	T. trichiura	13301	0.4001715565	Raw	FP
Pigs	8030-17	T. trichiura	13209	0.3994352127	Raw	FP
Pigs	7008-17	T. trichiura	27881	0.3989680526	Raw	FP
Madagascar	SRR7658638	T. trichiura	1594	0.3989303233	Decontaminated	FP
Pigs	8012-17	T. trichiura	14551	0.3985042253	Raw	FP
Pigs	3206-17	T. trichiura	9631	0.3983255541	Raw	FP
Madagascar	SRR7658679	T. trichiura	7012	0.3973790174	Decontaminated	FP
Pigs	7006-17	T. trichiura	12408	0.3970233991	Raw	FP
Pigs	6014-17	T. trichiura	12338	0.3965401323	Raw	FP
Pigs	9019-17	T. trichiura	15595	0.3957161883	Raw	FP
Madagascar	SRR7658622	T. trichiura	1633	0.3956732171	Decontaminated	FP
Pigs	2015-17	T. trichiura	10767	0.3953574925	Raw	FP
Pigs	8038-17	T. trichiura	15889	0.395083749	Raw	FP
Pigs	1033-17	T. trichiura	12988	0.3949867886	Raw	FP
Pigs	1039-17	T. trichiura	16376	0.3944742688	Raw	FP
Pigs	3211-17	T. trichiura	4459	0.3935834568	Raw	FP
Madagascar	SRR7658610	T. trichiura	1491	0.3927005566	Raw	FP
Madagascar	SRR7658620	T. trichiura	9411	0.3920203564	Decontaminated	FP
Pigs	1019-17	T. trichiura	13435	0.3914721205	Raw	FP
Madagascar	SRR7658654	T. trichiura	2561	0.3903706736	Decontaminated	FP
Pigs	6008-17	T. trichiura	11924	0.3901981557	Raw	FP
Pigs	9001-17	T. trichiura	12749	0.3891660334	Raw	FP
Pigs	7003-17	T. trichiura	12904	0.3890321877	Raw	FP
Madagascar	SRR7658651	T. trichiura	2019	0.3888804332	Decontaminated	FP
Pigs	9015-17	T. trichiura	14422	0.387745965	Raw	FP
Pigs	7009-17	T. trichiura	20751	0.3876822268	Raw	FP
Pigs	8040-17	T. trichiura	14015	0.3874572237	Raw	FP
Pigs	8034-17	T. trichiura	9748	0.3866297215	Raw	FP
Pigs	7010-17	T. trichiura	17516	0.3850824741	Raw	FP
Pigs	9012-17	T. trichiura	9409	0.3832203836	Raw	FP
Madagascar	SRR7658683	T. trichiura	2235	0.3830629195	Decontaminated	FP
Madagascar	SRR7658672	T. trichiura	2690	0.3795415339	Decontaminated	FP
Pigs	7005-17	T. trichiura	21248	0.3792973208	Raw	FP
Pigs	3214-17	T. trichiura	4034	0.3773410845	Raw	FP
Pigs	8024-17	T. trichiura	6088	0.3771445759	Raw	FP
Pigs	2010-17	T. trichiura	12404	0.3759348498	Raw	FP
Pigs	6004-17	T. trichiura	6490	0.3746624544	Raw	FP
Pigs	2009-17	T. trichiura	19933	0.3738200302	Raw	FP
Pigs	3213-17	T. trichiura	7936	0.3730255124	Raw	FP
Madagascar	SRR7658593	T. trichiura	4236	0.3725842929	Raw	FP
Madagascar	SRR7658649	T. trichiura	4026	0.3721303947	Decontaminated	FP
Madagascar	SRR7658689	T. trichiura	3215	0.3706231067	Decontaminated	FP
Pigs	7001-17	T. trichiura	17175	0.3685712401	Raw	FP
Madagascar	SRR7658660	T. trichiura	5353	0.3681556784	Decontaminated	FP
Hallstatt	HS2610	T. trichiura	11571	0.3644959285	Raw	FP
Human	Zape28	T. trichiura	18846	0.3621486991	Raw	FP
Madagascar	SRR7658634	T. trichiura	2557	0.3607064346	Decontaminated	FP
Human	Zape5	T. trichiura	18282	0.3579834571	Raw	FP
Human	UT30	T. trichiura	22653	0.3579031594	Raw	FP
Madagascar	SRR7658680	T. trichiura	6701	0.3574092422	Decontaminated	FP
Madagascar	SRR7658641	T. trichiura	2077	0.3573935237	Decontaminated	FP
Madagascar	SRR7658581	T. trichiura	3459	0.3567291327	Decontaminated	FP
Human	Zape_27	T. trichiura	7548	0.3540623414	Raw	FP
Madagascar	SRR7658642	T. trichiura	1453	0.351038748	Decontaminated	FP
Madagascar	SRR7658628	T. trichiura	1840	0.3456019916	Decontaminated	FP
Madagascar	SRR7658616	T. trichiura	1742	0.3444150828	Decontaminated	FP
Madagascar	SRR7658656	T. trichiura	8366	0.3418745471	Decontaminated	FP
Madagascar	SRR7658580	T. trichiura	5109	0.3417111389	Decontaminated	FP
Madagascar	SRR7658599	T. trichiura	3653	0.3412900368	Decontaminated	FP
Madagascar	SRR7658678	T. trichiura	2269	0.3411099233	Decontaminated	FP
Madagascar	SRR7658687	T. trichiura	4813	0.3409943263	Decontaminated	FP
Madagascar	SRR7658677	T. trichiura	6897	0.3389550662	Decontaminated	FP
Madagascar	SRR7658690	T. trichiura	8568	0.3358811081	Decontaminated	FP
Madagascar	SRR7658589	T. trichiura	2435	0.3355925225	Decontaminated	FP
Madagascar	SRR7658669	T. trichiura	8473	0.3344152911	Decontaminated	FP
Human	Coprolite_14	T. trichiura	14794	0.3336929242	Raw	FP
Madagascar	SRR7658650	T. trichiura	10245	0.3321824383	Decontaminated	FP
Human	Coprolite_19	T. trichiura	8693	0.330187454	Raw	FP
Madagascar	SRR7658583	T. trichiura	12380	0.3282617835	Decontaminated	FP
Madagascar	SRR7658623	T. trichiura	10896	0.3270074143	Decontaminated	FP
Madagascar	SRR7658659	T. trichiura	8218	0.3255946616	Decontaminated	FP
Human	Zape_31	T. trichiura	14936	0.3251062372	Raw	FP
Madagascar	SRR7658587	T. trichiura	5059	0.324120209	Decontaminated	FP
Human	Coprolite_16	T. trichiura	14301	0.3196123896	Raw	FP
Madagascar	SRR7658646	T. trichiura	4093	0.3184311548	Decontaminated	FP
Madagascar	SRR7658630	T. trichiura	6258	0.3176585711	Decontaminated	FP
Human	Zape_25	T. trichiura	9480	0.315376473	Raw	FP
Madagascar	SRR7658643	T. trichiura	10113	0.3142159615	Decontaminated	FP
Madagascar	SRR7658639	T. trichiura	10922	0.3140140811	Decontaminated	FP
Madagascar	SRR7658626	T. trichiura	1192	0.311288934	Decontaminated	FP
Madagascar	SRR7658648	T. trichiura	7270	0.3060092566	Decontaminated	FP
Madagascar	SRR7658640	T. trichiura	1105	0.2914665796	Decontaminated	FP
Madagascar	SRR7658663	T. trichiura	2694	0.2560219628	Decontaminated	FP
Madagascar	SRR7658652	T. trichiura	1126	0.2531186786	Decontaminated	FP
Madagascar	SRR7658667	T. trichiura	4613	0.2453563577	Decontaminated	FP
Human	Zape2	T. trichiura	2304	0.2029596432	Decontaminated	FP
Human	Zape28	T. trichiura	2279	0.2028634419	Decontaminated	FP
Human	Zape1	T. trichiura	1007	0.1634249771	Decontaminated	FP
Human	UT30	T. trichiura	1654	0.1298432276	Decontaminated	FP
Human	Zape5	T. trichiura	1277	0.007816743899	Decontaminated	FP
Iceman	Iceman_Large_intestine_lower_part_225	T. congolense	1677	0.382266406	Raw	FP
Iceman	Iceman_Stomach_corpus_content_II_1054	T. congolense	2164	0.3563079577	Raw	FP
Iceman	Iceman	T. congolense	7613	0.3557519087	Raw	FP
Iceman	Iceman_Muscle_tissue_Muscle_1_and_2	T. congolense	3123	0.3475931097	Raw	FP
Iceman	Iceman_Large_intestine_upper_part_II_1036	T. congolense	4825	0.3475126393	Raw	FP
Iceman	Iceman_Stomach_antrum_content_1051	T. congolense	2181	0.3454169792	Raw	FP
Iceman	Iceman_Stomach_corpus_content_I_1054	T. congolense	2603	0.3453589892	Raw	FP
Iceman	Iceman_Large_intestine_upper_part_I_1036	T. congolense	4584	0.3449312446	Raw	FP
Iceman	Iceman_Stomach_corpus_surface_1054	T. congolense	3367	0.3390313734	Raw	FP
Iceman	Iceman_Small_intestine_1063	T. congolense	3144	0.3375699867	Raw	FP
Iceman	Iceman_Stomach_antrum_surface_1051	T. congolense	3490	0.3374766442	Raw	FP
