kindom	simplified_tax_name	contamination
prok	Candidatus Faecousia	353
prok	Candidatus Fimicola	250
prok	Candidatus Flavonifractor	489
prok	Candidatus Fluviicola	1497
prok	Candidatus Fokinia	254
prok	Candidatus Fonsibacter	127
prok	Candidatus Fusobacterium	17227
prok	Candidatus Galligastranaerophilus	689
prok	Candidatus Gemmiger	12188
prok	Candidatus Hamiltonella	813
prok	Candidatus Helicobacter	5875
prok	Candidatus Hepatobacter	97
prok	Candidatus Hodgkinia	157
prok	Candidatus Hydrogenosomobacter	127
prok	Candidatus Jidaibacter	127
prok	Candidatus Lachnoclostridium	727
prok	Candidatus Leucobacter	171715
prok	Candidatus Liberibacter	127
prok	Candidatus Ligilactobacillus	1889
prok	Candidatus Limosilactobacillus	1463
prok	Candidatus Massiliomicrobiota	6298
prok	Candidatus Mediterraneibacter	9288
prok	Candidatus Megaira	859
prok	Candidatus Megamonas	380
prok	Candidatus Methylopumilus	619
prok	Candidatus Microbacterium	554
prok	Candidatus Micropelagos	254
prok	Candidatus Midichloria	74
prok	Candidatus Moduliflexus	1645
prok	Candidatus Mycoplasma	4583
prok	Candidatus Nitrosacidococcus	252
prok	Candidatus Nitrotoga	1609
prok	Candidatus Nucleicultrix	2481
prok	Candidatus Obscuribacter	20833
prok	Candidatus Oceanisphaera	1800
prok	Candidatus Odyssella	86205
prok	Candidatus Olsenella	829
prok	Candidatus Pantoea	335
prok	Candidatus Parabacteroides	526
prok	Candidatus Paracaedibacter	2913426
prok	Candidatus Paracaedimonas	4775
prok	Candidatus Pelagibacter	6304
prok	Candidatus Phocaeicola	2540
prok	Candidatus Phytoplasma	2680
prok	Candidatus Propionivibrio	1543
prok	Candidatus Pseudothioglobus	79943
prok	Candidatus Pullilachnospira	701
prok	Candidatus Purcelliella	2239
prok	Candidatus Rhodoblastus	351
prok	Candidatus Ruminococcus	2747
prok	Candidatus Scatomonas	602
prok	Candidatus Scybalocola	2506
prok	Candidatus Scybalomonas	14058
prok	Candidatus Solibacter	6656
prok	Candidatus Sphingomonas	15653
prok	Candidatus Sulfopaludibacter	8760
prok	Candidatus Symbiobacter	204163
prok	Candidatus Thermochlorobacter	419
prok	Candidatus Thiodiazotropha	527
prok	Candidatus Thioglobus	209
prok	Candidatus Thiothrix	1886
prok	Candidatus Tokpelaia	4882
prok	Candidatus Ventrisoma	1232
prok	Candidatus Vesicomyosocius	854
prok	Candidatus Vicinibacter	2699
prok	Candidimonas bauzanensis	5624
prok	Candidimonas humi	1658
prok	Candidimonas nitroreducens	4352
prok	Capnocytophaga felis	6066
prok	Capnocytophaga leadbetteri	1599
prok	Caproiciproducens galactitolivorans	5806
prok	Carboxylicivirga marina	242
prok	Carnobacterium iners	3293
prok	Carnobacterium mobile	5026
prok	Carnobacterium viridans	449
prok	Caryophanon sp.	3305
prok	Caryophanon tenue	606
prok	Casimicrobium huifangae	1333
prok	Castellaniella defragrans	15763
prok	Castellaniella denitrificans	772
prok	Castellaniella sp.	12347
prok	Catenibacillus sp.	6653
prok	Catenibacterium faecis	5396
prok	Catenibacterium mitsuokai	4531
prok	Catenibacterium sp.	359
prok	Caulobacter endophyticus	16177
prok	Caulobacter flavus	28683
prok	Caulobacter hibisci	3077
prok	Caulobacter mirabilis	2897
prok	Caulobacter radicis	69779
prok	Caulobacter segnis	4371148
prok	Caulobacter soli	167725
prok	Caulobacter sp.	1831
prok	Cecembia lonarensis	42218
prok	Cedecea davisae	1500
prok	Cedecea lapagei	682
prok	Cedecea neteri	238
prok	Cellulomonas biazotea	758
prok	Cellulomonas composti	396
prok	Cellulomonas fimi	349
prok	Cellulomonas iranensis	674
prok	Cellulomonas sp.	454
prok	Cellulophaga algicola	1821
prok	Cellulosimicrobium cellulans	574
prok	Cellvibrio sp.	4149
prok	Cesiribacter andamanensis	204
prok	Cetobacterium ceti	2902
prok	Cetobacterium somerae	1675
prok	Cetobacterium sp.	1192
prok	Chachezhania antarctica	609
prok	Chachezhania sediminis	1467
prok	Chania multitudinisentens	2981
prok	Chelativorans alearense	951
prok	Chelativorans oligotrophicus	4169
prok	Chelatococcus asaccharovorans	1713
prok	Chelatococcus reniformis	110656
prok	Chelatococcus sambhunathii	2045
prok	Chenggangzhangella methanolivorans	3560
prok	Chengkuizengella sediminis	8772
prok	Chiayiivirga flava	1285
prok	Chimaeribacter coloradensis	4337
prok	Chishuiella changwenlii	429
prok	Chitinasiproducens palmae	9772
prok	Chitinilyticum piscinae	1291
prok	Chitinolyticbacter meiyuanensis	3019
prok	Chitinophaga agrisoli	319
prok	Chitinophaga arvensicola	2211
prok	Chitinophaga barathri	1711
prok	Chitinophaga caeni	1060
prok	Chitinophaga costaii	267
prok	Chitinophaga cymbidii	1965
prok	Chitinophaga deserti	5063
prok	Chitinophaga eiseniae	1764
prok	Chitinophaga flava	729
prok	Chitinophaga ginsengisoli	1303
prok	Chitinophaga hostae	5987
prok	Chitinophaga japonensis	886
prok	Chitinophaga niabensis	677
prok	Chitinophaga niastensis	1233
prok	Chitinophaga oryzae	3309
prok	Chitinophaga oryziterrae	19353
prok	Chitinophaga parva	1811
prok	Chitinophaga pinensis	4056
prok	Chitinophaga qingshengii	860
prok	Chitinophaga rhizophila	3520
prok	Chitinophaga rhizosphaerae	652
prok	Chitinophaga rupis	708
prok	Chitinophaga sancti	2512
prok	Chitinophaga silvatica	4410
prok	Chitinophaga silvisoli	17833
prok	Chitinophaga skermanii	926
prok	Chitinophaga solisilvae	251
prok	Chitinophaga sp.	3098
prok	Chlamydia suis	14188
prok	Chloracidobacterium sp.	269
prok	Christensenella sp.	3825
prok	Chromobacterium alkanivorans	514
prok	Chromobacterium sinusclupearum	734
prok	Chryseobacterium aahli	1763
prok	Chryseobacterium angstadtii	544
prok	Chryseobacterium aquaticum	1483690
prok	Chryseobacterium aquifrigidense	61731
prok	Chryseobacterium arachidis	1877
prok	Chryseobacterium arthrosphaerae	14808
prok	Chryseobacterium artocarpi	24359
prok	Chryseobacterium aurantiacum	5960
prok	Chryseobacterium balustinum	6475
prok	Chryseobacterium bernardetii	538
prok	Chryseobacterium candidae	30296
prok	Chryseobacterium caseinilyticum	4493
prok	Chryseobacterium contaminans	3299
prok	Chryseobacterium cucumeris	75479
prok	Chryseobacterium culicis	11460
prok	Chryseobacterium daecheongense	1198
prok	Chryseobacterium echinoideorum	2431
prok	Chryseobacterium elymi	3953
prok	Chryseobacterium faecale	930
prok	Chryseobacterium flavum	7045
prok	Chryseobacterium formosense	4975
prok	Chryseobacterium formosus	1383
prok	Chryseobacterium gallinarum	625
prok	Chryseobacterium gambrini	4756
prok	Chryseobacterium ginsenosidimutans	3653
prok	Chryseobacterium glaciei	4458
prok	Chryseobacterium gleum	14136
prok	Chryseobacterium gregarium	784
prok	Chryseobacterium gwangjuense	1083
prok	Chryseobacterium hagamense	97877
prok	Chryseobacterium hispalense	214
prok	Chryseobacterium indoltheticum	3173
prok	Chryseobacterium jejuense	1256
prok	Chryseobacterium lactis	10309
prok	Chryseobacterium lathyri	2143
prok	Chryseobacterium limigenitum	139970
prok	Chryseobacterium luteum	4322
prok	Chryseobacterium manosquense	762
prok	Chryseobacterium mucoviscidosis	3979
prok	Chryseobacterium mulctrae	14329
prok	Chryseobacterium nakagawai	1407
prok	Chryseobacterium nepalense	2139
prok	Chryseobacterium oranimense	3874
prok	Chryseobacterium oryzae	826
prok	Chryseobacterium paridis	515
prok	Chryseobacterium pennae	6358
prok	Chryseobacterium pennipullorum	508
prok	Chryseobacterium phosphatilyticum	5415
prok	Chryseobacterium piperi	753
prok	Chryseobacterium piscium	6416
prok	Chryseobacterium polytrichastri	1283
prok	Chryseobacterium rhizoplanae	273346
prok	Chryseobacterium rhizosphaerae	1051
prok	Chryseobacterium schmidteae	5039
prok	Chryseobacterium scophthalmum	26932
prok	Chryseobacterium sediminis	283976
prok	Chryseobacterium shandongense	10722
prok	Chryseobacterium shigense	260
prok	Chryseobacterium soli	1401
prok	Chryseobacterium sp.	11314
prok	Chryseobacterium tagetis	555
prok	Chryseobacterium taiwanense	1090
prok	Chryseobacterium taklimakanense	1249
prok	Chryseobacterium timonianum	6029
prok	Chryseobacterium vaccae	55754
prok	Chryseobacterium viscerum	76337
prok	Chryseobacterium vrystaatense	5881
prok	Chryseobacterium wanjuense	817
prok	Chryseolinea serpens	3212
prok	Chryseolinea soli	19318
prok	Chryseosolibacter histidini	2954
prok	Chryseotalea sanaruensis	3610
prok	Chryseotalea sp.	2301
prok	Chthoniobacter flavus	72462
prok	Chthoniobacter sp.	25443
prok	Chthonobacter albigriseus	502
prok	Chthonomonas sp.	2405
prok	Ciceribacter lividus	312
prok	Ciceribacter thiooxidans	225
prok	Citrobacter amalonaticus	4297
prok	Citrobacter freundii	248058
prok	Citrobacter gillenii	2608
prok	Citrobacter koseri	5227
prok	Citrobacter murliniae	10664
prok	Citrobacter rodentium	61002
prok	Citrobacter sp.	378859
prok	Citrobacter telavivensis	17775
prok	Citrobacter tructae	16735
prok	Citrobacter werkmanii	65361
prok	Citrobacter youngae	39545
prok	Clavibacter michiganensis	675
prok	Clavibacter phaseoli	1735
prok	Cloacibacterium caeni	728
prok	Cloacibacterium rupense	252
prok	Cloacibacterium sp.	761
prok	Clostridium algoriphilum	4839
prok	Clostridium ammoniilyticum	1747
prok	Clostridium arbusti	254
prok	Clostridium baratii	8191
prok	Clostridium bornimense	755
prok	Clostridium bowmanii	1908
prok	Clostridium butyricum	19710
prok	Clostridium cagae	344
prok	Clostridium cavendishii	816
prok	Clostridium celatum	3926
prok	Clostridium chauvoei	1708
prok	Clostridium cibarium	4450
prok	Clostridium collagenovorans	237
prok	Clostridium cuniculi	657
prok	Clostridium faecium	244
prok	Clostridium fessum	21755
prok	Clostridium gallinarum	8282
prok	Clostridium hydrogenum	1974
prok	Clostridium ihumii	254
prok	Clostridium indicum	11487
prok	Clostridium isatidis	289
prok	Clostridium massiliamazoniense	4912
prok	Clostridium massiliodielmoense	1214
prok	Clostridium mediterraneense	6175
prok	Clostridium moniliforme	490
prok	Clostridium oryzae	1301
prok	Clostridium paraputrificum	290
prok	Clostridium pascui	1039
prok	Clostridium pasteurianum	315
prok	Clostridium perfringens	452116
prok	Clostridium phoceensis	863
prok	Clostridium porci	1188
prok	Clostridium puniceum	759
prok	Clostridium sardiniense	1597
prok	Clostridium sartagoforme	593
prok	Clostridium saudiense	3242
prok	Clostridium septicum	659
prok	Clostridium sp.	14207
prok	Clostridium tarantellae	6298
prok	Clostridium tertium	633
prok	Clostridium tetanomorphum	256
prok	Clostridium thailandense	1805
prok	Clostridium thermobutyricum	590
prok	Clostridium weizhouense	256
prok	Clostridium zeae	1822
prok	Cognataquiflexum aquatile	234
prok	Cohnella abietis	10402
prok	Cohnella algarum	1869
prok	Cohnella cholangitidis	2785
prok	Cohnella fermenti	6682
prok	Cohnella herbarum	13117
prok	Cohnella kolymensis	1478
prok	Cohnella lubricantis	5201
prok	Cohnella luojiensis	642
prok	Cohnella lupini	281
prok	Cohnella nanjingensis	2608
prok	Cohnella phaseoli	37690
prok	Cohnella pontilimi	2807
prok	Cohnella thailandensis	3703
prok	Cohnella thermotolerans	4987
prok	Cohnella xylanilytica	18984
prok	Cohnella zeiphila	10459
prok	Collinsella intestinalis	3440
prok	Collinsella phocaeensis	1200
prok	Collinsella sp.	727
prok	Collinsella stercoris	1532
prok	Collinsella tanakaei	2449
prok	Comamonas aquatica	1140
prok	Comamonas avium	6753
prok	Comamonas badia	10529
prok	Comamonas composti	21127
prok	Comamonas fluminis	5993
prok	Comamonas granuli	3587
prok	Comamonas koreensis	64288
prok	Comamonas odontotermitis	7471
prok	Comamonas piscis	68125
prok	Comamonas serinivorans	13341
prok	Comamonas sp.	435782
prok	Comamonas suwonensis	16007
prok	Comamonas terrae	6040
prok	Comamonas terrigena	40191
prok	Comamonas thiooxydans	9866
prok	Companilactobacillus farciminis	1461
prok	Compostimonas suwonensis	2335
prok	Confluentibacter citreus	218
prok	Confluentibacter lentus	669
prok	Confluentibacter sediminis	1243
prok	Congzhengia minquanensis	862
prok	Consotaella salsifontis	1239
prok	Constantimarinum furrinae	621
prok	Coprobacillus cateniformis	2857
prok	Coprococcus catus	6940
prok	Coprococcus comes	2136
prok	Coprococcus phoceensis	43022
prok	Coraliomargarita sinensis	1591
prok	Coralloluteibacterium stylophorae	658
prok	Corticibacterium populi	1070
prok	Corticimicrobacter populi	1620
prok	Corynebacterium casei	4389
prok	Corynebacterium heidelbergense	866
prok	Corynebacterium hindlerae	857
prok	Corynebacterium qintianiae	1514
prok	Corynebacterium sanguinis	581
prok	Corynebacterium timonense	1572
prok	Corynebacterium tuberculostearicum	351
prok	Corynebacterium variabile	308
prok	Coxiella endosymbiont	654
prok	Coxiella-like endosymbiont	64
prok	Crenalkalicoccus roseus	3565
prok	Croceibacterium ferulae	459
prok	Croceibacterium mercuriale	11759
prok	Croceibacterium soli	511
prok	Croceicoccus estronivorus	14020
prok	Croceicoccus gelatinilyticus	298
prok	Croceicoccus mobilis	671
prok	Croceicoccus naphthovorans	1144
prok	Croceicoccus ponticola	1420
prok	Croceicoccus sediminis	784
prok	Cronobacter condimenti	1513
prok	Cronobacter sakazakii	5336
prok	Cryobacterium breve	790
prok	Cryobacterium melibiosiphilum	830
prok	Cryobacterium psychrotolerans	598
prok	Cryobacterium soli	1474
prok	Cryobacterium tepidiphilum	6082
prok	Culturomica massiliensis	42788
prok	Cupriavidus agavae	1296
prok	Cupriavidus alkaliphilus	1129
prok	Cupriavidus basilensis	6505
prok	Cupriavidus gilardii	15776
prok	Cupriavidus malaysiensis	2608
prok	Cupriavidus metallidurans	14208
prok	Cupriavidus nantongensis	5293
prok	Cupriavidus necator	2724
prok	Cupriavidus numazuensis	39605
prok	Cupriavidus oxalaticus	3639
prok	Cupriavidus pampae	1333
prok	Cupriavidus pauculus	19302
prok	Cupriavidus respiraculi	758
prok	Cupriavidus sp.	73425
prok	Cupriavidus yeoncheonensis	27644
prok	Curtobacterium flaccumfaciens	239
prok	Curtobacterium herbarum	569
prok	Curtobacterium oceanosedimentum	552
prok	Curvibacter delicatus	3279
prok	Curvibacter lanceolatus	15056
prok	Curvibacter sp.	38671
prok	Cutibacterium acnes	76789
prok	Cutibacterium avidum	803
prok	Cutibacterium modestum	2809
prok	Cutibacterium namnetense	1629
prok	Cutibacterium porci	341
prok	Cyclobacterium jeungdonense	2147
prok	Cysteiniphilum marinum	183319
prok	Cytobacillus stercorigallinarum	19691
prok	Dactylosporangium sucinum	4605
prok	Daejeonella lutea	507
prok	Daejeonella rubra	2770
prok	Daejeonella sp.	603
prok	Dankookia rubra	379
prok	Dawidia cretensis	323
prok	Dawidia soli	5677
prok	Dechloromonas sp.	775
prok	Dehalobacterium formicoaceticum	346
prok	Deinococcus betulae	744
prok	Delftia acidovorans	1579525
prok	Delftia tsuruhatensis	433040
prok	Demequina aestuarii	418
prok	Demequina silvatica	370
prok	Deminuibacter soli	3273
prok	Denitratisoma oestradiolicum	376
prok	Derxia lacustris	4205
prok	Desulfitibacter alkalitolerans	716
prok	Desulfovibrio piger	2378
prok	Devosia beringensis	3915
prok	Devosia elaeis	1293
prok	Devosia epidermidihirudinis	16072
prok	Devosia geojensis	1298
prok	Devosia ginsengisoli	8935
prok	Devosia limi	1253
prok	Devosia lucknowensis	2101
prok	Devosia neptuniae	2322
prok	Devosia oryziradicis	679
prok	Devosia psychrophila	3309
prok	Devosia riboflavina	4627
prok	Devosia salina	1138
prok	Devosia soli	4599
prok	Dialister invisus	3135
prok	Dialister succinatiphilus	1821
prok	Diaminobutyricibacter tongyongensis	166
prok	Diaphorobacter aerolatus	23918
prok	Diaphorobacter caeni	15262
prok	Diaphorobacter nitroreducens	2798
prok	Diaphorobacter ruginosibacter	2363
prok	Diaphorobacter sp.	681
prok	Dickeya chrysanthemi	1371
prok	Dickeya fangzhongdai	5654
prok	Dickeya solani	1788
prok	Dickeya undicola	7261
prok	Dietzia cercidiphylli	2554
prok	Dietzia timorensis	1436
prok	Diplocloster modestus	991
prok	Dokdonella fugitiva	1080
prok	Dokdonella immobilis	516
prok	Dokdonella koreensis	200
prok	Dolosicoccus paucivorans	256
prok	Dolosigranulum pigrum	2579
prok	Domibacillus aminovorans	723
prok	Donghicola tyrosinivorans	127
prok	Dongshaea marina	2448
prok	Dorea acetigenes	667
prok	Dorea formicigenerans	260
prok	Dorea longicatena	4723
prok	Dorea phocaeensis	7173
prok	Duganella aquatilis	692
prok	Duganella callida	837
prok	Duganella dendranthematis	855
prok	Duganella fentianensis	947
prok	Duganella phyllosphaerae	2090
prok	Duganella sacchari	213
prok	Duganella vulcania	900
prok	Dyadobacter alkalitolerans	227
prok	Dyadobacter beijingensis	20172
prok	Dyadobacter bucti	4820
prok	Dyadobacter crusticola	3328
prok	Dyadobacter endophyticus	428
prok	Dyadobacter fermentans	11678
prok	Dyadobacter frigoris	208
prok	Dyadobacter jiangsuensis	605387
prok	Dyadobacter luteus	17274
prok	Dyadobacter luticola	9283
prok	Dyadobacter psychrophilus	12529
prok	Dyadobacter sandarakinus	445
prok	Dyadobacter sediminis	225
prok	Dyadobacter soli	17872
prok	Dyadobacter sp.	141782
prok	Dyella choica	1251
prok	Dyella ginsengisoli	1539
prok	Dysgonomonas macrotermitis	222
prok	Dysgonomonas sp.	8228
prok	Echinicola arenosa	258
prok	Edaphobacter flagellatus	2924
prok	Edaphocola flava	2062
prok	Edaphovirga cremea	2943
prok	Edwardsiella hoshinae	4105
prok	Edwardsiella ictaluri	586
prok	Edwardsiella tarda	804
prok	Eggerthella guodeyinii	2167
prok	Eggerthia catenaformis	1723
prok	Ehrlichia canis	68
prok	Eikenella exigua	4395
prok	Eisenbergiella porci	610
prok	Eisenbergiella sp.	3373
prok	Eisenbergiella tayi	545
prok	Eisenibacter elegans	1681
prok	Elioraea sp.	576
prok	Elizabethkingia anophelis	4047925
prok	Elizabethkingia argenteiflava	564
prok	Elizabethkingia bruuniana	12042
prok	Elizabethkingia meningoseptica	4351
prok	Elizabethkingia miricola	47952
prok	Elizabethkingia ursingii	161498
prok	Empedobacter brevis	5977
prok	Empedobacter falsenii	15213
prok	Empedobacter sp.	234763
prok	Empedobacter stercoris	6279
prok	Empedobacter tilapiae	9086
prok	Emticicia agri	35606
prok	Emticicia aquatica	4321
prok	Emticicia aquatilis	660
prok	Endozoicomonas montiporae	301
prok	Enemella evansiae	1020
prok	Enhydrobacter aerosaccus	8809
prok	Enhydrobacter sp.	20634
prok	Enorma burkinafasonensis	351
prok	Enorma phocaeensis	1147
prok	Ensifer adhaerens	1851
prok	Ensifer glycinis	873
prok	Ensifer psoraleae	334
prok	Enterobacillus tribolii	3965
prok	Enterobacter asburiae	3223
prok	Enterobacter cancerogenus	324
prok	Enterobacter chengduensis	12524
prok	Enterobacter cloacae	1566
prok	Enterobacter hormaechei	15481
prok	Enterobacter huaxiensis	1289
prok	Enterobacter kobei	16776
prok	Enterobacter ludwigii	2097
prok	Enterobacter oligotrophicus	2633
prok	Enterobacter quasimori	13113
prok	Enterobacter soli	6172
prok	Enterobacter sp.	10140
prok	Enterobacteriaceae endosymbiont	4072
prok	Enterocloster bolteae	1976
prok	Enterocloster clostridioformis	1901
prok	Enterocloster lavalensis	2467
prok	Enterococcus aquimarinus	551
prok	Enterococcus avium	662006
prok	Enterococcus canis	22586
prok	Enterococcus diestrammenae	2963
prok	Enterococcus durans	11958
prok	Enterococcus faecalis	31827
prok	Enterococcus faecium	19561
prok	Enterococcus gallinarum	10363
prok	Enterococcus hulanensis	6864
prok	Enterococcus innesii	1966
prok	Enterococcus italicus	800
prok	Enterococcus malodoratus	2178
prok	Enterococcus massiliensis	915
prok	Enterococcus mediterraneensis	544
prok	Enterococcus moraviensis	698
prok	Enterococcus mundtii	1446
prok	Enterococcus phoeniculicola	930
prok	Enterococcus raffinosus	3261
prok	Enterococcus ratti	2460
prok	Enterococcus saccharolyticus	249
prok	Enterococcus saigonensis	8660
prok	Enterococcus silesiacus	548
prok	Enterococcus sp.	7022
prok	Enterococcus thailandicus	523
prok	Enterococcus ureilyticus	559
prok	Enterococcus villorum	1160
prok	Enterococcus wangshanyuanii	12316
prok	Enterococcus xiangfangensis	517
prok	Enterovirga rhinocerotis	2073
prok	Entomohabitans teleogrylli	872
prok	Entomoplasma freundtii	3199
prok	Eoetvoesia caeni	1910
prok	Epilithonimonas arachidiradicis	1262
prok	Epilithonimonas bovis	573
prok	Epilithonimonas caeni	1000
prok	Epilithonimonas hispanica	36358
prok	Epilithonimonas hominis	7821
prok	Epilithonimonas lactis	251
prok	Epilithonimonas mollis	5320
prok	Epilithonimonas tenax	723
prok	Epilithonimonas xixisoli	12041
prok	Epilithonimonas zeae	7908
prok	Erwinia aphidicola	234
prok	Erwinia iniecta	668
prok	Erwinia mallotivora	1065
prok	Erwinia oleae	440
prok	Erwinia psidii	1394
prok	Erwinia pyrifoliae	1268
prok	Erwinia toletana	83
prok	Erwinia typographi	11642
prok	Erysipelatoclostridium ramosum	7637
prok	Erysipelatoclostridium sp.	2816
prok	Erysipelothrix aquatica	1209
prok	Erysipelothrix inopinata	21542
prok	Erysipelothrix larvae	765
prok	Erysipelothrix sp.	463
prok	Erysipelothrix urinaevulpis	1626
prok	Erythrobacter aureus	6920
prok	Erythrobacter colymbi	644
prok	Erythrobacter insulae	381
prok	Erythrobacter ramosus	257
prok	Erythrobacter sp.	1222
prok	Erythrobacter tepidarius	297
prok	Escherichia albertii	157028
prok	Escherichia coli	9112531
prok	Escherichia fergusonii	379018
prok	Escherichia ruysiae	349703
prok	Escherichia sp.	1709078
prok	Eubacterium barkeri	1228
prok	Eubacterium hominis	483
prok	Eubacterium plexicaudatum	1721
prok	Eubacterium ramulus	230
prok	Eubacterium sp.	6854
prok	Eubacterium uniforme	1184
prok	Ewingella americana	374
prok	Exiguobacterium acetylicum	3047
prok	Exiguobacterium marinum	925
prok	Exiguobacterium sibiricum	9031
prok	Exiguobacterium sp.	1973
prok	Extensimonas perlucida	31854
prok	Extensimonas vulgaris	2043
prok	Facklamia lactis	9298
prok	Facklamia miroungae	40479
prok	Faecalibacillus faecis	4004
prok	Faecalibacillus intestinalis	2540
prok	Faecalibacter rhinopitheci	1515
prok	Faecalibacterium duncaniae	26399
prok	Faecalibacterium longum	5415
prok	Faecalibacterium sp.	7589
prok	Faecalicatena faecalis	31903
prok	Faecalicoccus acidiformans	448
prok	Faecalimonas sp.	8815
prok	Faecalimonas umbilicata	92751
prok	Falsibacillus pallidus	257
prok	Falsiroseomonas frigidaquae	899
prok	Falsochrobactrum ovis	3464
prok	Falsochrobactrum shanghaiense	5043
prok	Ferribacterium limneticum	1303
prok	Ferrovum myxofaciens	1633
prok	Ferruginibacter albus	31893
prok	Ferruginibacter lapsinanis	24786
prok	Ferruginibacter sp.	11388
prok	Fibrella aestuarina	696
prok	Fibrella forsythiae	270
prok	Fibrella rubiginis	719
prok	Fibrisoma limi	1137
prok	Fibrisoma montanum	717
prok	Fibrobacter succinogenes	719
prok	Fictibacillus gelatini	391
prok	Filimonas effusa	7110
prok	Filimonas lacunae	4682
prok	Filimonas sp.	7415
prok	Filimonas zeae	1401
prok	Fimbriimonas ginsengisoli	4248
prok	Finegoldia magna	347
prok	Flaviaesturariibacter flavus	1874
prok	Flaviaesturariibacter sp.	2657
prok	Flavihumibacter cheonanensis	2989
prok	Flavihumibacter fluminis	1304
prok	Flavihumibacter petaseus	224
prok	Flavihumibacter profundi	1856
prok	Flavihumibacter solisilvae	202
prok	Flavihumibacter sp.	1342
prok	Flavihumibacter stibioxidans	3721
prok	Flavimobilis soli	1266
prok	Flavipsychrobacter sp.	861
prok	Flavisolibacter ginsengisoli	508
prok	Flavisolibacter tropicus	209
prok	Flavivirga algicola	3014
prok	Flavobacterium aciduliphilum	803
prok	Flavobacterium agrisoli	5040
prok	Flavobacterium ajazii	9881
prok	Flavobacterium akiainvivens	4011
prok	Flavobacterium alkalisoli	200
prok	Flavobacterium alvei	17435
prok	Flavobacterium amniphilum	378
prok	Flavobacterium anhuiense	2461
prok	Flavobacterium antarcticum	602
prok	Flavobacterium aquariorum	448480
prok	Flavobacterium aquatile	5143
prok	Flavobacterium aquicola	1075679
prok	Flavobacterium aquidurense	13837
prok	Flavobacterium araucananum	17826
prok	Flavobacterium azooxidireducens	17280
prok	Flavobacterium baculatum	1523
prok	Flavobacterium beibuense	3333
prok	Flavobacterium bernardetii	1371
prok	Flavobacterium bizetiae	16688
prok	Flavobacterium bomense	2189
prok	Flavobacterium branchiicola	6176
prok	Flavobacterium branchiophilum	4578
prok	Flavobacterium caseinilyticum	1575
prok	Flavobacterium cauense	966
prok	Flavobacterium cellulosilyticum	14730
prok	Flavobacterium cerinum	901
prok	Flavobacterium cheongpyeongense	26057
prok	Flavobacterium chilense	7511
prok	Flavobacterium chungangense	10546
prok	Flavobacterium chungbukense	3997
prok	Flavobacterium circumlabens	20537
prok	Flavobacterium collinsii	8473
prok	Flavobacterium commune	7098
prok	Flavobacterium coralii	26414
prok	Flavobacterium covae	211
prok	Flavobacterium crassostreae	1061
prok	Flavobacterium croceum	859
prok	Flavobacterium crocinum	10133
prok	Flavobacterium cupreum	10663
prok	Flavobacterium cutihirudinis	2820
prok	Flavobacterium cyanobacteriorum	2026
prok	Flavobacterium cyclinae	210
prok	Flavobacterium daejeonense	269
prok	Flavobacterium daemonense	1762
prok	Flavobacterium dankookense	1418
prok	Flavobacterium dauae	735
prok	Flavobacterium defluvii	2421
prok	Flavobacterium degerlachei	13911
prok	Flavobacterium denitrificans	3601
prok	Flavobacterium endoglycinae	2139
prok	Flavobacterium endophyticum	33178
prok	Flavobacterium enshiense	863
prok	Flavobacterium faecale	1998
prok	Flavobacterium filum	915
prok	Flavobacterium flabelliforme	6417
prok	Flavobacterium flevense	3969
prok	Flavobacterium fluviale	9116
prok	Flavobacterium fluviatile	7768
prok	Flavobacterium fluvii	34300
prok	Flavobacterium foetidum	2622
prok	Flavobacterium fontis	1467
prok	Flavobacterium franklandianum	16300
prok	Flavobacterium frigidimaris	8381
prok	Flavobacterium frigoris	225
prok	Flavobacterium fryxellicola	2289
prok	Flavobacterium gawalongense	20463
prok	Flavobacterium gelidilacus	204
prok	Flavobacterium geliluteum	11769
prok	Flavobacterium gillisiae	239
prok	Flavobacterium gilvum	91060
prok	Flavobacterium ginsenosidimutans	9236
prok	Flavobacterium glaciei	2502
prok	Flavobacterium glycines	3832
prok	Flavobacterium granuli	5603
prok	Flavobacterium haoranii	611
prok	Flavobacterium hercynium	3969
prok	Flavobacterium hibernum	14424
prok	Flavobacterium hibisci	15470
prok	Flavobacterium hiemivividum	1712
prok	Flavobacterium humi	3153
prok	Flavobacterium hydatis	6509
prok	Flavobacterium hydrocarbonoxydans	28517
prok	Flavobacterium hydrophilum	34365
prok	Flavobacterium ichthyis	1467
prok	Flavobacterium indicum	21273
prok	Flavobacterium inviolabile	1526
prok	Flavobacterium johnsoniae	6797
prok	Flavobacterium jumunjinense	206
prok	Flavobacterium kayseriense	3997
prok	Flavobacterium laiguense	109433
prok	Flavobacterium limi	16601
prok	Flavobacterium limicola	3010
prok	Flavobacterium limnosediminis	2605
prok	Flavobacterium lindanitolerans	37755
prok	Flavobacterium luteum	2363
prok	Flavobacterium lutivivi	317
prok	Flavobacterium microcysteis	103401
prok	Flavobacterium micromati	10335
prok	Flavobacterium muglaense	10950
prok	Flavobacterium nackdongense	43314
prok	Flavobacterium nitrogenifigens	5190
prok	Flavobacterium noncentrifugens	1001
prok	Flavobacterium notoginsengisoli	2789
prok	Flavobacterium omnivorum	2152
prok	Flavobacterium oreochromis	880
prok	Flavobacterium orientale	289
prok	Flavobacterium pallidum	202
prok	Flavobacterium palustre	8084
